店铺名称,类别,评分,所属片区,纬度,经度,详细地址,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜
青木手作(日月店),新式甜品,5,日月广场,20.016209,110.350519,琼山区五指山南路（海航日月广场六号下沉式广场真冰场入口处）,19.9元山核桃抹茶千层，29.9元青木夏季单人套餐;,周一至周日 09:30-22:30,17001366779,3911,,
川东颐站(秀英店),川菜,4.1,秀英时代广场,20.01772,110.28272,秀英区海港路时代广场三楼,50代100元，86代100元;,周一至周日 10:00-21:00,0898-68631711,3905,“母親手藝，頤養天和”【川东颐站】民俗川菜坊推荐川东民俗饮食文化，让你体验母亲手艺，朴实的口味，品位来自大巴山下、嘉陵江边热情火辣的饮食文化；聆听川江号子、坐堂歌声回荡的豪迈情怀。吊脚楼留下陈旧的记忆，青石板留下岁月的痕迹；青花溪里繁忙的船夫，状元桥上悠闲的茶客；大石坎上儿时的嬉笑声，石桥铺上喧闹的叫卖声——这一切仿佛还在你身边。“悠悠巴蜀风，浓浓故乡情”让我们一起讲述同寄天涯人对故土的怀念,"酸菜鱼,凉拌牛肉,毛血旺,沸腾鱼,黄辣丁,口水鸡,铁板土豆片,茄子豆角,折耳根,川东民俗腊猪脚,鸭头,剁椒鱼头,蒜香排骨,水煮鱼,干锅小土豆,茄子面,厥根粉,草原香炒羊肉,郪江烩酥肉,夹沙肉,回锅肉,笋子牛肉,1,土豆肥肠,清汤圆子,生煎包子,虾米汤,五香牛肉,蚂蚁上树,老麻抄手,渠江香水活鱼,颐站金牌回锅肉,老成都夫妻肺片,剑门煎豆腐,榄菜豆角,爽口茼蒿,泡萝卜皮,仔姜猪耳,川东腊猪脚,丝瓜炒蛋"
美欣蛋糕(1号店),甜点饮品,4,汽车站,19.240705,110.466282,琼海市东风路多美丽正对面,8.8折（买单立享）;10英寸蛋糕78元起，淡奶水果蛋糕10寸98元，12英寸蛋糕148元起，单层淡奶水果蛋糕12寸149元，14英寸蛋糕175元起，双层欧式水果蛋糕210元;8.8代10元;,周一至周日 06:30-24:00,0898-62616800,3887,美欣蛋糕作为琼海著名的老牌糕点店品牌，经历了数十载的技术改良和创新，秉承了独有的配方技术，渗透了蛋糕工艺的制作精髓；把蛋糕努力制作成最适合琼海人口味的美味是美欣蛋糕的**的心愿。甜而不腻，入口即化，淡雅可口，款式新颖是美欣蛋糕的一贯特色。美欣蛋糕会根据您的要求**时间制作，**时间送达您的手中。让每一个客户从美欣蛋糕中感受到从未有过的真正实惠是我们追求的经营理念；让每个琼海人都能吃到美欣蛋糕是我们的毕生奋斗目标。,"提拉米苏,三明治,水果夹心,小蛋糕,鲜奶布丁,提子彩虹,榴莲蛋糕,肉松酥,榴莲千层蛋糕,韩国拌饭,面包蛋糕,蓝莓切件,芝士蛋糕,鸡仔饼,蛋挞,双层巧克力,火龙果,土司面包"
鹰鹏草原碳烤羊(南沙店),烧烤,3.5,南沙路,20.018572,110.333496,龙华区南沙路20号凯盛广场第一层A区8号（凯盛广场1楼）,8.5折（买单立享）;双人餐68元，3-4人餐98元，3-4人餐138元，3-4人餐188元，4-6人餐218元，6人餐228元，4-6人餐258元，8人餐308元，8-10人餐418元，10人餐528元;,周一至周日 11:00-14:00 17:00-03:00,0898-66776735/15595712013,3885,,"碳烤羊腿,碳烤羊排,凉拌海带,水饺,烤生蚝,虾,调料,蛋炒饭,烤羊肉,海带丝,烤羊腿烤羊排,凉拌黄瓜,炒空心菜,凉拌土豆丝,海鲜粥,大羊排,特色凉菜,水煮鱼,正宗羊肉串,香辣烤鱼,凉拌海带丝,烤腰子,烤鱿鱼,酸梅汤,鱼香肉丝,排骨汤,经典十三香小龙虾,香辣田鸡,精品芽菜炒饭,精品豆芽,精品木耳,精品洋葱,精品青瓜条,鱿鱼虾,凉拌菜,羊排骨,凉菜拼盘,骨头,生蚝羊杂汤"
老味儿火锅,火锅,3.8,金盘,19.991214,110.318249,龙华区金盘路香港仔隔壁,双人餐69.9元，3-4人餐128元，6人餐199元;50代100元，88代100元;,周一至周日 09:00-21:00,0898-66553881,3882,,"鸳鸯骨汤锅,重庆火锅,经典红汤锅,麻辣牛肉,澳洲毛肚,金针菇,山药,川味火锅,酥肉,肥牛,凉粉,毛肚,鸳鸯锅底,唯怡豆奶,鹅肠,香菇汤锅,嫩牛肉,豆花,香菇,油碟香油,红汤锅底,手切羊肉番茄鸳鸯锅,辣锅,重庆冰粉,鹅掌,五花肉,牛肝,海白菜,维怡豆奶,重庆鱼火锅,麻辣锅,牛百叶,牛肉丸,皇帝菜,柠檬红茶,绿茶,炒饭,长寿面,手工猪肉丸,柠檬水,香菜猪肉丸,滑肉片,极品雪花肥牛,牛肝炒饭,脑花,牛肚,骨头汤,猪黄喉,老火锅,虾滑,现炸酥肉,黄鳝,冬瓜,豆腐,凉粉和牛"
海南菜馆(海大北门总店),海南菜,4.1,海甸岛,20.061258,110.328518,美兰区海甸岛五西路海大北门右200米，农业银行正对面,9.2折（买单立享）;4人餐68元，2-3人餐88元，双人餐88元，3-4人餐88元，3-4人餐138元，5-6人餐158元，3-4人餐168元，7-8人餐188元，8-10人餐208元，8-10人餐358元;88代100元;,周一至周日 10:00-14:00 17:00-21:00,13907557940,3883,,"烤鱼,木桶牛肉,鱼香茄子,地胆头鸡汤,米饭,火锅鱼,咸鱼茄子煲,虾酱地瓜叶,斋菜煲,纸包虾,地胆鸡,金针菇,拍黄瓜,将军鸭,柠檬水,香菇滑鸡,锅底,本地鸡,豆腐,白萝卜,地瓜叶,韭菜炒蛋,干锅花菜,杏鲍菇炒芥兰,小葱拌豆腐,拌皮蛋,椰子鸡汤"
渝湘苑,湘菜,3.8,凤翔路,19.98702,110.348936,琼山区凤翔西路8号澳华大厦（靠近古蓝咖啡）,2-3人餐68元;80代100元;,周一至周日 11:00-14:00 17:00-20:00,0898-65953688,3869,,"家常豆腐,烤鱼88元,清炒时蔬,什锦烩一品,团购香锅,金银馒头,烤罗非鱼,麻辣黑蛙,相思梦红豆,白米饭,毛血旺,文昌鸡,鲜榨西瓜汁,玉米粥,酱猪脚,酸萝卜,大麦茶,香辣锅,干锅茶树菇,小炒肉,水蒸蛋,玉米羹,蒜蓉蒸鲍鱼,椒盐虾,水煮鱼,石锅黄骨鱼,药材土鸡汤,盐菜扣肉,猪肉蒸蛋卷,夫妻肺片,干锅千叶豆腐,茄子豆角,养颜木瓜羹,铁板土豆皮,凉拌木耳,川菜凉粉"
美石记烤肉(金海路店),韩式烤肉,4.3,金海路,19.255497,110.465178,琼海市金海西中一路40号,双人餐78元，4人餐158元;88代100元;,周一至周日 11:00-14:00 17:00-21:30,13398919933,3867,,
爱饭饭社区餐饮,台湾菜,4.5,白龙路沿线,20.036813,110.361991,美兰区白龙南路潮立方商场2层铺面,9.5折（买单立享）;11元套餐3选1，22.8元酸菜鱼套餐，38元浪漫情侣餐，68元商务工作餐;90代100元;,周一至周日 10:30-22:00,13707578313,3866,,"拍黄瓜,芽菜炒饭,白切鸡,鸡腿饭,米饭,凤爪,酸萝卜,水煮鱼,水煮肉片,黄瓜,青瓜,白斩鸡套餐,白斩鸡,凉粉,凉拌黄瓜,酸辣汤,酸菜鱼,拌木耳,酸辣土豆丝,黑蛙,豆芽,木耳,白萝卜,土豆,白菜"
贡茶(城西店),奶茶/果汁,4.2,海南医学院及周边,19.98775,110.33037,龙华区城西路92-1号（汉庭酒店旁边）,12.8元招牌奶茶;,周一至周日 10:00-23:00,0898-66890375,3863,,"熊猫奶盖,奶盖红,熊猫奶盖茶,珍珠奶盖茶,奶盖绿,珍珠奶盖乌龙茶,奥利奥,原味奶盖红,原味奶盖红茶,双皮奶,烧仙草,奶茶,奶盖,奶盖乌龙,西瓜汁,柠檬水,红豆奶茶,奶盖红茶"
炭木香烤鱼,烤鱼,4.1,琼山区,19.995311,110.374504,琼山区椰博路6号商铺,3-4人餐58元，2-3人餐88元，3-4人餐93元，3-4人餐98元，5-6人餐186元;85代100元;,周一至周日 11:00-23:00,13876011663,3856,,"白骨鱼,腐竹,炭木香烤鱼"
康年皇冠花园酒店康年轩西餐厅,西餐,3.9,金牛岭公园周边,20.013412,110.321731,龙华区金垦路6号康年皇冠花园酒店1楼,其他40元起;,周一至周日 07:00-10:30 11:00-22:30,0898-68955888,3855,海口金牛岭公园占地105公顷，葱郁的绿洲、林海与金牛湖浩淼的水面相得益彰。康年皇冠花园酒店座落其间，各等级套房共298间。商务康年阁，堪称海口**的湖景商务阁，为讲究的住客提供私人及舒适的空间。湖山相映，融汇典雅的建筑，国际电影频道、高速宽带网络及齐全的电脑设备助您方寸之间尽握天下商机。饶具特色的舒适环境、现代化的设施及细致周到的服务，无时无刻不让您感受回家般的亲切,"好吃,牛肋骨,豆腐脑"
美优潮州牛肉店,粤菜,4.1,金盘,19.999287,110.313201,龙华区金牛路20号南滨骏园一楼铺面（省公安厅即麦当劳内进100米）,双人餐59元，2-3人餐69元，3-4人餐99元，6-8人餐268元，10-12人餐388元;,周一至周日 06:30-22:00,0898-66800868,3839,,"牛肉丸,炒牛肉,牛肉,牛筋,生菜：空心菜,猪颈肉,潮汕牛肉丸,牛肉炒粉,铁观音功夫茶,黑豆冰糖,牛肉丸子,牛肉火锅,超Q牛肉丸,精工返沙芋头,精工返沙淮山,纯豆炸枝竹,潮汕炒面线,凉拌萝卜,金针菇,土豆,炸果肉,濕炒牛河"
正宗泰芒了(潮立方总店),西式甜品,5,白龙路沿线,20.037882,110.36188,美兰区文明东路潮立方广场1楼,16元泰芒甜品合集，26元超级泰芒;19.2代24元;,周一至周日 10:30-23:00,0898-65232832/15203638763,3835,,"芒果粒粒红豆,芒果粒粒爽,芒果彩点子,芒果哈密,黑砖芒果粒粒,芒果普吉岛,超级泰芒"
欣奇西点蛋糕(南沙店),甜点饮品,4.5,南沙城市广场/万瑞广场,20.004285,110.325175,秀英区南沙路与金地路交汇口国森广场1楼,14元热卖特制蛋黄酥，榴芒双拼蛋糕（新品上市）138元;,周一至周日 07:30-23:00,0898-66782641,3832,海口欣奇食品有限公司于1993年3月27日经市工商局审批注册成立，系台商独立投资企业。厂址位于金盘工业区建设三横路金马大厦五楼，是海口首家集研发、生产、销售、服务为一体的专业化西点企业。海口欣奇食品有限公司采用中央工厂集中规模生产、专业快速车队高效配送的连锁店管理模式，坚持“产品打市场，服务定天下”的经营管理思路，主要生产品种有生日蛋糕、西点面包、月饼礼盒、会议点心等共300多个，目前全市区共有三十个销售服务网点。除经营开发海口市场外，公司于2001年设立欣圆分公司在三亚投资设立中央工厂开发外地西点市场；同时结合自身发展及市场需求进足餐饮休闲业，于同期在海口设立恋恋今生复合式咖啡吧经营各式中西套餐、休闲饮品等，餐厅环境优雅、口味鲜美、价格适众，深受广大消费者欢迎。“欣奇蛋糕，新鲜来自烘焙”是公司专业实力与品牌建设的体现。质量是企业的生命、是生存发展的根本，成立之初公司就致立于高档次、高含量之品牌建设，投入巨资引进先进的经营理念和生产工艺，从厂区的工艺布局、原料进购、仓库管理、烤制烘焙、成品包装等各环节全程控制；同时严格按照主管部门要求加强卫生生产管理，积极开展各种形式的专业技能培训及技术交流，提高员工技术能力及专业生产素养。,"珍爱欧式慕斯蛋糕,火腿芝士面包,巧克力蛋糕,全麦面包,咖啡奶,母亲节主题慕斯蛋糕,榴芒双拼蛋糕（新品上市）,面包蛋糕"
湘忆亭(万达广场店),湘菜,4.5,万达广场,19.979257,110.27845,秀英区椰海大道万达广场3楼,2-3人餐88元，3-4人餐136元，5-6人餐205元，8人餐299元，10人餐398元;50代100元，90代100元;,周一至周日 11:00-22:00,18389483639,3828,,
正新鸡排(龙昆海师店),小吃快餐,3.2,龙昆南路,19.998074,110.341224,龙华区龙昆南路97号（简单love网吧门口）,9.9元【官方】正新鸡排尊享版单人餐;,,17671817720,3811,,
重庆小厨嬢嬢面(世贸店),馄饨,4,金山广场,20.020661,110.303761,龙华区世贸雅苑亿万嘉超市负1楼,8元特色重庆小面;,"周一,周日 09:00-21:00",13907593701,3810,,"重庆特色酸辣粉,红烧牛肉米线,麻辣红油抄手,清汤抄手,酸辣粉"
东路基(国贸店),海南菜,4,国贸大道,20.027553,110.32491,龙华区国贸路19号城市精英A座首层（森宝KTV旁）,9折（买单立享）;,周一至周日 07:30-21:30,0898-65950600,3809,,"老鸭汤,玉米汁,金桔柠檬茶,脆皮飘香鸭,原味椰子鸡汤,铁板牛肉,隔水蒸鸡,特色鸭,煎饼,鸭汤锅底,生上海口斋菜,椰子鸡汤,黑豆腐,招牌野鸭汤,椰子鸡汤烫青菜,金桔柠檬水,皇帝菜"
珊瑚海中餐厅,其他地方菜,4.2,南沙路,20.008698,110.326963,龙华区银湖路7号珊瑚海精品连锁酒店银湖路店二楼（南沙路交通学校内进200米）,12.9元单人下午茶，双人餐78元;,周一至周日 08:00-20:30,0898-66585108,3797,,"刀拍黄瓜,鱼香肉丝,清炒上海青,剁椒鱼头,红枣茶,黄金小馒头"
麦栗工坊(海府一横路店),零食,4.4,美兰区,20.027146,110.360439,美兰区海府一横路3号（旺佳旺旁）,9.9元9.9冰板栗，22.8元糖炒板栗;45代50元;,周一至周日 09:00-22:30,0898-65374768,3792,海南庆佳味食品有限公司是一家集研发、加工、销售、连锁经营为一体的综合性绿色休闲食品企业。公司于2003年正式成立，总部坐落于海南国际旅游岛省会城市-海口市，主要经营干果类、炒货类、蜜饯类、肉制品类、糕点糖果类、果冻饮料类、素食类和礼盒补品类等特色绿色健康休闲食品。公司特色产品——'糖炒板栗'，选料上乘，运用独有传统配方现场炒制，使产品味道鲜美、风格别致，已成为休闲食品行业中的翘楚。,"野生板栗,散独黑果鸡爪,散独广大园紫薯,核桃,散装雪域圣果健康红枣,散独姜哥烧肉兰花豆"
有间小铺·烧烤店,烧烤,3.9,解放西/泰龙城,20.03707,110.338432,龙华区泰龙小吃街1楼琼台13号（正門口走進來左手邊第四間）,10.8元鸡翅包饭，13.9元台湾秘制烤翅;,周一至周日 11:00-22:00,18876175380,3789,,"烤鸡翅,芝士薯条,塔塔酱薯条,鱼板,香蕉牛奶,芝士培根卷,蓝莓芝士卷,烤翅,疯薯条,鸡翅包饭,芝士卷,鲜榨木瓜牛奶,鲜榨西瓜牛奶,鲜榨香蕉牛奶"
塔塔先生披萨(国贸星球店),披萨,4.9,国贸大道,20.025133,110.318952,龙华区国贸大道38号,39元通用下午茶，双人餐69元;42代50元;,周一至周日 11:00-21:00  非营业时段 2018-02-14至2018-02-18 全天,13322057098,3781,,"奥尔良萌萌鸡,萌萌鸡披萨,酸梅汁,辣椒披萨,榴莲披萨,可乐,墨西哥牛仔,双拼,萌萌鸡,墨西哥披萨,水果口味,海鮮披薩,崂山可乐,奥尔良,饮料,奥尔良萌萌鸡比萨,海鲜披萨,牛肉披萨,榴莲批萨,榴莲忘返,魔鬼爆椒,热带水果西多士,奶油培根意面,榴莲巴菲,抹茶芒果肠粉,烧汁鸡丁焗饭,芝士白汁海鲜意面,凯撒沙拉,榴莲,水,披萨,比萨,墨西哥牛肉,北冰洋汽水"
传统永和豆浆(国贸店),快餐,3.6,玉沙路,20.024863,110.320025,龙华区玉沙路9号中城商业广场1楼,8.8折（买单立享）;15元下午茶B 套餐，19元下午茶A套餐;17.6代20元;,周一至周日 全天,0898-68531558,3774,吃特色，吃营养，吃品牌，吃文化，已成为人们的一种时尚追求。传统永和豆浆依托成功经验及雄厚的开发实力，经过数年多的市场调研，试点实施及战略策划，制出一整套真正适应中国的饮食连锁经营模式，以投资低、成本低、品种全、管理标准化、回报快的显著优势在同行业中，别具一格，具备强有力的竞争能力，目前已在全国三十多个城市开设有加盟店。,"豆浆,油条,冰黑豆浆,煎饺,台式小笼包,烧麦,春饼,韭菜盒子,凉拌三丝,煎蛋饼,豆浆油条,咸豆浆,酱肉面,牛肉粉丝,猪扒饭,皮蛋瘦肉粥,鸡腿饭,担仔面,牛肉面,热豆浆,绿豆粥,粽子王,白菜水饺,豆腐脑,炸酱面,牛肉粉丝汤,馄饨,香煎鱼排饭,荷包蛋,白豆浆,卤肉饭,永和豆浆,咸豆花,大排面,奶黄包,酱骨架,油条豆浆,牛腩面,小馒头,鸡丝凉面,韭菜合子,酒酿元宵,韭菜水饺,豆腐花,淡豆浆,担担面,芹菜水饺,蟹黄包,小馄饨,猪排饭,可口可乐"
阿浪海鲜霸王岭8号(丁村万人海鲜广场店),海鲜,5,丁村万人海鲜广场,19.971523,110.342472,龙华区迎宾大道丁村万人海鲜广场霸王岭8号（新城吾悦购物广场旁）,9.5折（买单立享）;双人餐268元起，3-4人餐388元，3-4人餐468元，3-4人餐488元，5人餐508元，5-6人餐538元，5-6人餐588元，6人餐666元，5-6人餐688元，5-6人餐688元，8-10人餐758元，8人餐799元起，5-6人餐868元，10人餐1288元，10-12人餐1588元，10-12人餐1688元;95代100元;,周一至周日 11:00-23:00,18889674335/15103667289,3762,,
金丽陵水酸粉店(海甸岛店),其他美食,3.7,海甸岛,20.049154,110.344019,美兰区海甸二东路水岸星城A区一楼4-7号铺面,8.8元正宗陵水酸粉，11.8元精品套餐;,周一至周日 07:00-00:00,0898-66274039,3760,,
外婆抄手,馄饨,4.1,金山广场,20.021687,110.305104,龙华区金贸西路世贸大厦光大银行隔壁3楼外婆抄手,8.8折（买单立享）;10.8元单人小碗，15元单人大份，45.5元外婆抄手双人套餐;,周一至周日 07:00-20:00,13976737488,3759,,"干拌抄手,外婆抄手,清汤抄手,肥肠面,担担面,重庆小面,凉拌猪耳,凉拌猪脸肉,凉拌豆腐皮,酸辣粉,老麻抄手,紫菜虾米抄手,牛肉面,杂酱面,凉拌猪心,时蔬,凉拌黄瓜,凉拌香干,凉拌折耳根,绿豆汤"
重庆记忆老灶火锅,重庆火锅,3.6,龙昆南路,20.001082,110.339801,龙华区龙昆南路省妇幼保健院正对面黄金岛咖啡楼下,88代100元;,周一至周日 09:30-00:30  非营业时段 2018-02-14至2018-02-18 00:00-23:30,0898-65771922,3748,,"锅底,田鸡,老肉片,午餐肉,鲜鸭肠,香菜丸子,鸭血,海带结,上海青,藕片,冻豆腐,土豆,豆芽,味碟,香辣美味虾"
正义煎饼队长(友谊阳光城店),快餐,3.5,新友谊阳光城,20.023468,110.323933,龙华区龙华路103号友谊阳光城6楼大型真人CS旁,6.8元正义煎饼队长软煎，12.8元正义煎饼山东味道，18.8元日式照烧鸡煎饼;25代30元;,周一至周日 10:00-22:00,0898-68526769,3730,,
海龙苑咖啡厅,咖啡厅,3.9,白龙路沿线,20.038858,110.365288,美兰区文明东路31-6号（来福景园酒店二楼）,5元劲爆茶饮，8元特色茶饮，15.8元特惠简餐，58元实惠2-3人餐，128元实惠4-5人餐;,周一至周日 11:00-21:00,0898-65367399,3712,,"金针菇牛肉饭,猪颈肉饭"
湘水渔庄,湘菜,4.7,琼山区,19.988146,110.375277,琼山区新大洲大道新兴路2-1号内进100米（湘满楼）,2-3人餐38元，双人餐59元起，3-4人餐99元;88代100元;,周一至周日 10:00-21:00,0898-65800591/18689965334,3705,,"福寿鱼,拍黄瓜,银耳汤,生鱼,酸菜鱼,酸梅汁,湄公鱼,豆皮,鸡煲,土豆片,铁板烧土豆,白骨鱼,炒饭,香辣田鸡,青菜豆腐汤,土豆丝,烤罗非鱼,代金券"
麻辣江湖馋嘴小龙虾,湘菜,4.4,白龙路沿线,20.037957,110.362059,美兰区文明东路34小旁潮立方商场（多美丽后面）,9.5折（买单立享）;单人餐48元起，双人餐98元，3人餐168元;45代50元;,周一至周日 18:00-23:30,15203657257,3696,,"招牌小龙虾,海鲜炒饭,炒饭,炒方便面,白米饭,海带结,海鲜饭,酸菜鱼,琵琶虾,麻辣虾兵蟹将,馋嘴皮皮虾,大闸蟹,馋嘴花螺,香辣蒜蓉猪排,特色鸭舌,鸡中翅,销魂凤爪,鸡尖,香辣藕片,海鲜炒面,鸭下巴,螺肉,绿茶,小龙虾,柠檬水,柠檬红茶"
百岁鱼庄,鱼火锅,4.6,海甸岛,20.061345,110.328931,美兰区海甸岛五西路海大北门美食一条街12号铺面,双人餐36.8元，2-3人餐59.8元，3人餐88元，3-4人餐98元，6-7人餐165.8元，8-10人餐258元;,周一至周日 11:00-14:00 17:00-20:30  非营业时段 2018-02-12至2018-02-22 全天,18084661958,3705,,"烤鱼,1,姜母鸭,蚝油生菜,烤罗非鱼,拍黄瓜"
鹅公馆(城西店),其他地方菜,4.7,海南医学院及周边,19.984899,110.332028,龙华区城西镇医学院北门街第一层C区38-39号铺面（医学院北门对面）,双人餐79.9元，3-4人餐159.9元，3-4人餐199元，6-8人餐339元;90代100元;,周一至周日 10:00-22:00,0898-66989835,3704,,
华莱士(和平南店),汉堡,3.7,天安购物广场,19.695862,110.332053,定安县和平南路1号,10.9元单人套餐，25.9元双人套餐，30元2人经济套餐;,周一至周日 08:00-22:00,0898-63806807,3689,,
三顾冒菜(国贸店),冒菜,5,上邦百汇城,20.021122,110.321478,龙华区金龙路7号兴业银行大厦一楼101-8铺面（东方证券旁，侨中隧道出口处）,31.3代33元，47.5代50元;,周一至周日 10:30-21:00  非营业时段 2018-02-14至2018-02-19 全天,0898-65809550/18976470818,3681,,"素菜,荤菜,蟹柳"
重庆秦妈火锅,重庆火锅,3.3,文建路,19.599569,110.758334,文昌市文城镇文建路100号,双人餐98元，3人餐138元，4-6人餐228元;78代100元，88代100元;,周一至周日 10:00-21:30,0898-63466699,3673,,
水无沙·湖南人(龙昆南店),湘菜,4,龙昆南路,19.999219,110.340931,龙华区龙昆南路95号,90代100元;,周一至周日 10:30-14:00 17:30-21:00,13518057511,3662,,
马家烧麦羊汤馆,东北菜,4.8,海甸岛,20.05276,110.347866,美兰区海达1横路广航大厦后1楼（海甸岛海达一横路二路和三路之间海达派出所斜对面靠近三东路）,单人餐16元起，双人餐40元起，3-4人餐95元;,周一至周日 09:00-21:00,13876373747,3660,,"木须肉,烧麦,羊肉烧麦,葱爆羊肉,饼+煎蛋,羊肉馅饼,可口可乐,鸡肉饭,老酸奶,牛肉烧麦,牛肉饼,羊肉烧卖,大包子,羊肉汤,川椒牛肚,辣炒羊杂,白灼菜心,马家羊汤,马家烧麦,尖椒豆腐泡,葱油饼,羊杂碎"
汇茶(上邦百汇城店),饮品店,5,上邦百汇城,20.021423,110.322181,龙华区隆仟百货一楼,8.8元招牌饮品;,周一至周日 下午茶 10:00-22:00,18389298185,3675,,
欣奇西点蛋糕(宜欣店),甜点饮品,4.9,宜欣广场,20.024971,110.311314,龙华区明珠路18号金地商业街2-3号铺面,14元热卖特制蛋黄酥，榴芒双拼蛋糕（新品上市）138元;,周一至周日 07:30-23:00,0898-68515100,3638,海口欣奇食品有限公司于1993年3月27日经市工商局审批注册成立，系台商独立投资企业。厂址位于金盘工业区建设三横路金马大厦五楼，是海口首家集研发、生产、销售、服务为一体的专业化西点企业。海口欣奇食品有限公司采用中央工厂集中规模生产、专业快速车队高效配送的连锁店管理模式，坚持“产品打市场，服务定天下”的经营管理思路，主要生产品种有生日蛋糕、西点面包、月饼礼盒、会议点心等共300多个，目前全市区共有三十个销售服务网点。除经营开发海口市场外，公司于2001年设立欣圆分公司在三亚投资设立中央工厂开发外地西点市场；同时结合自身发展及市场需求进足餐饮休闲业，于同期在海口设立恋恋今生复合式咖啡吧经营各式中西套餐、休闲饮品等，餐厅环境优雅、口味鲜美、价格适众，深受广大消费者欢迎。“欣奇蛋糕，新鲜来自烘焙”是公司专业实力与品牌建设的体现。质量是企业的生命、是生存发展的根本，成立之初公司就致立于高档次、高含量之品牌建设，投入巨资引进先进的经营理念和生产工艺，从厂区的工艺布局、原料进购、仓库管理、烤制烘焙、成品包装等各环节全程控制；同时严格按照主管部门要求加强卫生生产管理，积极开展各种形式的专业技能培训及技术交流，提高员工技术能力及专业生产素养。,"沙琪玛,芒果绿茶,芒果酱,巧克力土司,珍爱欧式慕斯蛋糕,母亲节主题慕斯蛋糕,肉松包,榴芒双拼蛋糕（新品上市）"
食汇坊,海南菜,4.7,琼山区,19.997854,110.351296,琼山区朱云路40-8号（琼山二小斜对面）,6.8元腌海南粉，8.8元粥，8.8元牛肉腌海南粉，16.8元海鲜粥套餐，19.8元猪脚套餐饭，21.8元牛腩套餐饭;,周一至周日 全天,0898-65805945,3637,,"海南粉,腌海南粉,清汤,斋菜煲,鲜虾粥,猪脚饭,牛肉粥,抱罗粉,牛腩饭,奶昔清补凉,抱罗粉汤,沙虫粥,椰奶清补凉"
芋观园(文明东潮立方店),传统甜品,4,白龙路沿线,20.037757,110.362314,美兰区文明东路34小旁潮立方商场2楼（多美丽后面）,12.6元芋圆6选1，12.6元仙草6选1;,周一至周日 11:00-23:00,0898-31946247,3624,,"芋圆3号,双拼奶茶,相思奶茶,柠檬绿,玉米烙,芒果布丁,双皮奶,仙草4号,仙草1号,冰激凌球,柠檬冬瓜,珍珠经典奶茶,西多士,玉米粒,红豆奶茶,红豆汤,柠檬红,奶茶系列,黑凉粉,冰淇淋,希望奶茶,西米露,芒果班戟"
老鞑子烤羊腿,烧烤,5,海甸岛,20.061439,110.334257,美兰区海甸五西路荟尚街旁边,3-4人餐158元，3-4人餐158元;,周一至周日 17:00-02:00,15808901677,3615,,
胖妞精香醇干锅王,火锅,3.6,万华路,20.022716,110.340902,龙华区万华路蓝天派出所斜对面处,4人餐109元起;,周一至周日 全天,13876955192,3610,,"黄瓜,1,笋干,豆芽,兔子,大锅,芽菜炒饭,青瓜,可口可乐,蛙腿,红焖老土公鸡（活杀）,米饭,蛙,豆腐皮,土豆"
传统永和豆浆(龙华路店),快餐,3,龙华区,20.035016,110.335338,龙华区龙华路34号海南贵州大厦1楼106号,8.8折（买单立享）;15元下午茶B 套餐，19元下午茶A套餐;17.6代20元;,周一至周日 07:00-02:00,0898-66245980,3600,吃特色，吃营养，吃品牌，吃文化，已成为人们的一种时尚追求。传统永和豆浆依托成功经验及雄厚的开发实力，经过数年多的市场调研，试点实施及战略策划，制出一整套真正适应中国的饮食连锁经营模式，以投资低、成本低、品种全、管理标准化、回报快的显著优势在同行业中，别具一格，具备强有力的竞争能力，目前已在全国三十多个城市开设有加盟店。,"豆浆,油条,永和豆浆,烧麦,酒酿元宵,粽子王,煎饺子,甜豆浆,绿豆粥,黑豆浆,乔麦窝窝头,酱骨架,绿豆汤,鸡腿饭,牛腩饭,黄豆浆,清汤面,豆腐花,担仔米线,土豆丝,小龙包,油条豆浆,咸豆浆,香煎鱼排饭,白菜水饺,灌汤包,皮蛋瘦肉粥,卤肉饭,甜豆花,豆腐脑,冰豆浆,鱼香肉丝饭,鸡蛋面,小笼包油条豆浆,热豆浆,杂酱面,凉拌腐竹,酸辣土豆丝,煎鸡蛋,流沙包"
华莱士(凯盛店NO.67),汉堡,3.6,龙昆北路,20.019129,110.333522,龙华区龙昆南路20号115铺面（凯盛广场内）,9.9元开心鸡排加中可，10.9元单人套餐，11.9元单人小吃拼盘套餐，25.9元双人套餐，30元2人经济套餐;,周一至周日 08:00-22:00,0898-66718107,3599,,
川东老家(吾悦广场店),川菜,3.7,新城吾悦购物广场,19.97723,110.337598,龙华区椰海大道吾悦广场3楼,50代100元，80代100元;,周一至周日 午市 10:30-14:00 晚市 17:00-21:30  非营业时段 2018-02-15至2018-02-21 全天,0898-65308911,3584,,
陈记深井烧鹅(日月广场店),茶餐厅,4.2,日月广场,20.01652,110.34668,琼山区国兴大道8号日月广场西区双子座3楼,单人餐9.9元起，4人餐268元，6人餐322元;,周一至周日 08:00-22:00  非营业时段 2018-02-10至2018-03-02 全天,0898-32881927,3576,,
